United States COVID-19 Cases and Deaths by State
Date generated: Thu Oct 01 2020 09:00:46 GMT-0400 (EDT)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000
Alaska,7721,null,null,771,1047,56,null,null,11,7
Alabama,153554,136549,17005,6970,3142,2517,2378,139,68,51
Arkansas,82755,null,null,5774,2746,1350,null,null,141,44
American Samoa,0,null,null,0,0,0,null,null,0,0
Arizona,218184,213622,4562,3338,3042,5632,5365,267,134,78
California,807425,null,null,23101,2041,15640,null,null,569,39
Colorado,70025,65115,4910,3972,1230,2046,1689,357,21,35
Connecticut,57329,54919,2410,1169,1605,4505,3608,897,9,126
District of Columbia,15300,null,null,279,2178,626,null,null,5,89
Delaware,20531,19465,1066,770,2123,635,558,77,7,65
Florida,696171,null,null,16395,3268,14143,null,null,727,66
Federated States of Micronesia,0,0,0,0,0,0,null,null,0,0
Georgia,316306,null,null,8085,3007,6994,null,null,317,66
Guam,2443,null,null,253,1474,47,null,null,10,28
Hawaii,12469,null,null,788,878,134,null,null,14,9
Iowa,87631,null,null,6330,2776,1326,null,null,40,42
Idaho,41434,37699,3735,3087,2362,464,427,37,13,26
Illinois,293490,291001,2489,14026,2304,8881,8637,244,159,69
Indiana,119066,null,null,6440,1779,3612,3385,227,92,53
Kansas,58629,55780,2849,4670,2014,637,null,null,37,21
Kentucky,67856,59544,8312,5125,1519,1170,1159,11,51,26
Louisiana,166848,null,null,3595,3580,5490,5308,182,104,117
Massachusetts,139139,129243,9896,3377,2016,9418,9210,208,92,136
Maryland,124725,null,null,3428,2064,3949,3805,144,47,65
Maine,5391,4824,567,220,403,141,null,null,1,10
Michigan,136820,123633,13187,6463,1370,7072,6751,321,75,70
Minnesota,98447,null,null,6347,1754,2072,2020,52,35,36
Missouri,124762,null,null,9526,2036,2086,null,null,222,34
Northern Mariana Islands,70,70,0,1,0,2,2,0,0,3
Mississippi,98190,90462,7728,3617,3288,2969,2729,240,99,99
Montana,12876,12876,0,1976,1212,179,179,0,16,16
North Carolina,209137,204331,4806,13588,2014,3494,3467,27,208,33
North Dakota,21846,null,null,2865,2874,246,null,null,43,32
Nebraska,45044,null,null,3259,2335,478,null,null,17,24
New Hampshire,8233,null,null,243,607,439,null,null,1,32
New Jersey,204563,null,null,3983,2296,16117,14326,1791,41,180
New Mexico,29157,null,null,1367,1392,875,null,null,21,41
Nevada,79699,null,null,3199,2626,1635,null,null,44,53
New York,214054,null,null,3634,1921,9036,null,null,20,81
New York City,244757,239219,5538,2899,2914,23823,19187,4636,43,283
Ohio,152907,144265,8642,7057,1308,4783,4480,303,148,40
Oklahoma,92457,82453,10004,5971,2345,1023,1008,15,48,25
Oregon,33291,31678,1613,1978,794,555,541,14,23,13
Pennsylvania,157814,152868,4946,6168,1232,8123,null,null,100,63
Puerto Rico,48755,24000,24755,6095,1526,661,489,172,44,20
Palau,0,null,null,0,0,0,null,null,0,0
Rhode Island,24556,null,null,642,2322,1113,null,null,14,105
Republic of Marshall Islands,0,0,0,0,0,0,null,null,0,0
South Carolina,147634,143495,4139,6845,2904,3359,3173,186,116,66
South Dakota,21997,null,null,2808,2493,223,221,2,21,25
Tennessee,194611,187197,7414,9463,2875,2420,2325,95,159,35
Texas,743284,null,null,27077,2590,15604,null,null,610,54
Utah,72136,72136,0,7092,2282,457,457,0,15,14
Virginia,148272,140615,7657,5682,1741,3208,2995,213,119,37
Virgin Islands,1318,null,null,40,1259,20,null,null,1,19
Vermont,1749,null,null,28,279,58,null,null,0,9
Washington,87042,null,null,3849,1155,2124,null,null,55,28
Wisconsin,126664,119955,6709,16337,2179,1310,1300,10,51,22
West Virginia,15692,15248,444,1308,869,345,null,null,28,19
Wyoming,5821,4948,873,805,1008,50,50,0,1,8
United States of America,7168077,2857210,166256,294175,2166,205372,111229,10867,5107,62
